poi_key,lat,lng,note
jagalchi_market,35.0966,129.0308,manual: original query hit Cheonan, re-geocoded with specific Busan address
hallasan_1100_wetland,33.3617,126.5292,manual: APPROXIMATE Hallasan center (no roof-level POI in Google for this trail)
gyochon_hanok_village,35.8295,129.2148,manual: Gyeongju 교촌마을 specific
hallim_park,33.3895,126.2393,manual: Jeju Hallim Park specific
ilchulland_micheon_cave,33.3823,126.8418,manual: Jeju 일출랜드 미천굴 specific
ilchulland_themed_gardens,33.3823,126.8418,manual: same as ilchulland_micheon_cave (same complex)
incheon_cruise_terminal,37.4241,126.6056,manual: Incheon Port International Passenger Terminal
jeju_tangerine_picking_experience,33.2715,126.6077,manual: Seogwipo tangerine zone (representative)
